titre,famille_medicament,cas_utilisation,interraction_substance,grossesse_allaitement_fertilite,effet_indesirable,contre_indication,posologie
LYSOPAÏNE AMBROXOL pastille,Préparation orobuccale à visée antalgique,Ce médicament a un effet anesthésique local sur la muqueuse du pharynx.Il est utilisé pour soulager les maux de gorge aigus.,,L'effet de ce médicament pendant la grossesse ou l'allaitement est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.,"Fréquents (1 à 10 % des patients) : modification du goût, engourdissement passager de la langue, nausées.Peu fréquents : diarrhées, digestion difficile, sécheresse buccale.Rares : urticaire, gorge sèche.Fréquence indéterminée : vomissements, réaction allergique (œdème de Quincke), réaction cutanée potentiellement grave (voir Attention).",,
LYSOPAÏNE CETYLPYRIDINIUM - LYSOZYME,Préparation orobuccale à visée antiseptique,Ce médicament d'usage local contient un antiseptique de la famille des ammoniums quaternaires et une enzyme.Il est utilisé dans le traitement d'appoint des maux de gorge peu intenses et sans fièvre.,,L'effet de ce médicament pendant la grossesse ou l'allaitement est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.,Réaction allergique.,"Ce médicament ne doit pas être utilisé chez l'enfant de moins de 6 ans.En cas de fièvre, de gène en avalant ou de persistance des symptômes au bout de 5 jours, consultez votre médecin. Il pourra faire la différence entre une pharyngite et une angine. En cas d'angine bactérienne, un traitement antibiotique est nécessaire afin d'éviter des complications ultérieures, cardiaques ou rénales.L'usage prolongé des traitements antiseptiques locaux (gargarisme, collutoire, pastille) n'est pas souhaitable ; il peut modifier l'équilibre microbien naturel de la gorge.","Laisser fondre lentement les comprimés dans la bouche, en espaçant les prises d'au moins 2 heures.Posologie usuelle :Adulte et enfant de plus de 6 ans : 3 à 6 comprimés par jour, répartis régulièrement au cours de la journée.En cas d'aphtes récidivants (plus de 4 poussées par an), il est préférable de prendre un avis médical.Ce médicament peut être en accès libre (ou accès direct) dans certaines pharmacies ; dans ce cas, faites valider votre choix par votre pharmacien."
LYSORYNX,Préparation orobuccale à visée antiseptique,Ce médicament d'usage local contient un antiseptique de la famille des ammoniums quaternaires et une enzyme.Il est utilisé dans le traitement d'appoint des maux de gorge peu intenses et sans fièvre.,,L'effet de ce médicament pendant la grossesse ou l'allaitement est mal connu. L'évaluation du risque éventuel lié à son utilisation est individuelle : demandez conseil à votre pharmacien ou à votre médecin.,"Fréquence indéterminée : réaction allergique (éruption cutanée, urticaire, œdème de Quincke...).",,"Laisser fondre lentement les comprimés dans la bouche, en espaçant les prises d'au moins 2 heures.Posologie usuelle :Adulte et enfant de plus de 6 ans : 3 à 6 comprimés par jour, répartis régulièrement au cours de la journée.Ce médicament peut être en accès libre (ou accès direct) dans certaines pharmacies ; dans ce cas, faites valider votre choix par votre pharmacien."
MAALOX MAUX D'ESTOMAC,Antiacide d'action locale,Ce médicament contient des antiacides d'action locale. Ils agissent en neutralisant les acides sécrétés par l'estomac.Il est utilisé dans le traitement des brûlures d'estomac et des remontées acides.,Ce médicament peut diminuer l'absorption de nombreux médicaments. Un délai d'au moins 2 heures (voire 4 heures avec les antibiotiques de la famille des quinolones) doit être respecté entre la prise de ce médicament et celle des autres traitements. Demandez conseil à votre médecin ou à votre pharmacien.,"Les substances contenues dans ce médicament sont peu absorbées. Néanmoins, ne l'utilisez pas de façon prolongée pendant la grossesse ou l'allaitement sans l'avis de votre médecin ou de votre pharmacien.","Constipation ou diarrhée : les sels d'aluminium favorisent la constipation alors que le magnésium peut avoir un effet laxatif. Suivant les personnes, l'un ou l'autre de ces effets peut prédominer.Douleurs abdominales.Réaction allergique (démangeaisons, rougeur cutanée, urticaire, choc).","Ce médicament ne doit pas être utilisé en cas d'insuffisance rénale grave.Il est préférable de consulter un médecin dans les situations suivantes :troubles de la digestion apparaissant pour la première fois, ou si les troubles ont changé récemment ;troubles associés à une perte de poids ;difficulté à avaler ou gêne abdominale persistante.N'utilisez pas ce médicament de façon prolongée sans l'avis de votre médecin : des examens peuvent être nécessaires si les symptômes persistent.Compte tenu de la teneur en aluminium de ce médicament, des précautions sont recommandées chez les insuffisants rénaux traités par dialyse.Les personnes souffrant de douleurs d'estomac doivent éviter d'utiliser des médicaments contenant de l'aspirine ou des AINS qui fragilisent la muqueuse de l'estomac. Le paracétamol est en revanche sans danger pour traiter les douleurs ou la fièvre.Les sachets de suspension buvable contiennent du sucre (saccharose) en quantité notable.","Ce médicament doit être pris au moment des douleurs d'estomac ou des remontées acides.Les comprimés sont à sucer ou à croquer.La suspension buvable  doit être avalée telle quelle, sans être diluée. Le sachet doit être malaxé avant ouverture.Posologie usuelle :Adulte et enfant de plus de 15 ans : 1 à 2 comprimés ou 1 cuillère à soupe ou 1 à 2 sachets, 1 à 6 par jour. La durée du traitement ne doit pas dépasser 10 jours sans avis médical.Une alimentation équilibrée, une mastication lente, la suppression des aliments difficiles à digérer et des boissons alcoolisées permettent souvent d'atténuer les symptômes dus aux remontées acides ou à une inflammation de l'estomac.Si vous êtes fumeur, la poursuite du tabagisme est un frein important au traitement ; la nicotine augmente l'acidité gastrique et réduit l'efficacité du muscle qui ferme la jonction entre l'œsophage et l'estomac.Ce médicament peut être en accès libre (ou accès direct) dans certaines pharmacies ; dans ce cas, faites valider votre choix par votre pharmacien."
MAALOX REFLUX,"Antireflux, antiacide",Ce médicament appartient à la famille des antiacides d'action locale. Il forme un gel visqueux qui surnage dans l'estomac et protège l'œsophage en cas de reflux du contenu de l'estomac.Il est utilisé dans le traitement du reflux gastro-œsophagien.,Ce médicament peut diminuer l'absorption de nombreux médicaments. Un délai d'au moins 2 heures (voire 4 heures avec les antibiotiques de la famille des quinolones) doit être respecté entre la prise de ce médicament et celle des autres traitements. Demandez conseil à votre médecin ou à votre pharmacien.,"Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Très rares : spasmes des bronches, réaction allergique (urticaire, choc anaphylactique).",,"Ce médicament doit être pris après les trois principaux repas et éventuellement au coucher.Le sachet doit être malaxé avant son ouverture.Posologie usuelle :Adulte et enfant de plus de 12 ans : 1 sachet, 3 ou 4 fois par jour. Cette posologie peut être doublée en cas de reflux important.En cas de régurgitations acides, il est recommandé de fractionner les repas, de surélever la tête du lit, d'éviter la position penchée, de s'allonger après les repas et de porter des vêtements trop serrés.Si vous êtes fumeur, la poursuite du tabagisme est un frein important au traitement ; la nicotine augmente l'acidité gastrique et réduit l'efficacité du muscle qui ferme la jonction entre l'œsophage et l'estomac.Ce médicament peut être en accès libre (ou accès direct) dans certaines pharmacies ; dans ce cas, faites valider votre choix par votre pharmacien."
MACROGOL 3350 NORGINE,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement de la constipation avec accumulation de selles dans le rectum.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.",Ce médicament est destiné à l'enfant.,"Diarrhée en cas de dose trop importante.Très rares (moins de 0,01 % des personnes) : réaction allergique (urticaire, démangeaisons,œdème de Quincke, voire choc anaphylactqiue).Fréquence indéterminée : douleurs abdominales, nausées, vomissements, ballonnements, maux de tête, modification de la kaliémie.","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladie inflammatoire du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.En cas de douleurs abdominales répétitives ou prolongées, ce médicament ne doit pas être pris sans avis médical.Ce médicament contient du sel (sodium) en quantité notable.","Chaque sachet-dose doit être dilué dans un demi-verre d'eau.La dose quotidinne doit être répartie en 2 prises.Posologie usuelle :Enfant de 9 à 15 ans : 4 ou 5 sachets, matin et soir.Enfant de 4 à 8 ans : 3 ou 4 sachets, matin et soir.Enfant de 2 à 3 ans : 2 sachets le matin et 2 ou 3 sachets le soir.La durée du traitement ne doit pas dépasser 7 jours sauf avis médical contraire.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes.La solution reconstituée peut être conservée 24 heures maximum au réfrigérateur, dans un récipient fermé."
MACROGOL 4000 ARROW,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Chez l'adulte :Fréquents (1 à 10 % des cas) : douleurs abdominales, nausées, diarrhée.Peu fréquents (moins de 1 % des cas) : besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).Chez l'enfant :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée.Peu fréquents (moins de 1 % des cas) : nausées, vomissements.Fréquence indéterminée : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.L'usage des laxatifs doit rester exceptionnel chez l'enfant.","Le contenu de chaque sachet doit être dilué dans environ 50 ml d'eau, juste avant l'administration.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 à 2 sachets à 10 g par jour, en une prise, de préférence le matin.Enfant de 4 à 8 ans : 2 à 4 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 1 et 4 ans : 1 sachet à 4 g par jour, en 1 prise le matin, ou 2 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 6 mois à 1 an : 1 sachet à 4 g par jour, le matin.Chez l'enfant, la durée du traitement ne doit pas dépasser 3 mois.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MACROGOL 4000 BIOGARAN,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Chez l'adulte :Fréquents (1 à 10 % des cas) : douleurs abdominales, nausées, diarrhée.Peu fréquents (moins de 1 % des cas) : besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).Chez l'enfant :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée.Peu fréquents (moins de 1 % des cas) : nausées, vomissements.Fréquence indéterminée : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.L'usage des laxatifs doit rester exceptionnel chez l'enfant.","Le contenu de chaque sachet doit être dilué dans environ 50 ml d'eau, juste avant l'administration.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 à 2 sachets à 10 g par jour, en une prise, de préférence le matin.Enfant de 4 à 8 ans : 2 à 4 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 1 et 4 ans : 1 sachet à 4 g par jour, en 1 prise le matin, ou 2 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 6 mois à 1 an : 1 sachet à 4 g par jour, le matin.Chez l'enfant, la durée du traitement ne doit pas dépasser 3 mois.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MACROGOL 4000 EG,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Chez l'adulte :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée, nausées.Peu fréquents (moins de 1 % des cas) : vomissements, besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).Chez l'enfant :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée.Peu fréquents (moins de 1 % des cas) : nausées, vomissements.Fréquence indéterminée : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.Chez l'enfant, l'usage des laxatifs doit rester exceptionnel et de courte durée sans avis médical.","Le contenu de chaque sachet doit être dilué dans environ 50 ml d'eau, juste avant l'administration.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 à 2 sachets à 10 g par jour, en une prise, de préférence le matin.Enfant de 4 à 8 ans : 2 à 4 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 1 et 4 ans : 1 sachet à 4 g par jour, en 1 prise le matin, ou 2 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 6 mois à 1 an : 1 sachet à 4 g par jour, le matin.Chez l'enfant, la durée du traitement ne doit pas dépasser 3 mois.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MACROGOL 4000 SANDOZ,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Fréquents (1 à 10 des cas) : douleurs abdominales, diarrhée, nausées.Peu fréquents (moins de 1 % des cas) : vomissements, besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.Chez l'enfant, l'usage des laxatifs doit rester exceptionnel et de courte durée sans avis médical.","Le contenu du sachet doit être dilué dans un verre d'eau juste avant la prise.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 ou 2 sachets par jour, de préférence en une seule prise le matin.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MACROGOL 4000 ZENTIVA,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Chez l'adulte :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée, nausées.Peu fréquents (moins de 1 % des cas) : vomissements, besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).Chez l'enfant :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée.Peu fréquents (moins de 1 % des cas) : nausées, vomissements.Fréquence indéterminée : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.L'usage des laxatifs doit rester exceptionnel chez l'enfant.","Le contenu de chaque sachet doit être dilué dans environ 50 ml d'eau, juste avant l'administration.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 à 2 sachets à 10 g par jour, en une prise, de préférence le matin.Enfant de 4 à 8 ans : 2 à 4 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 1 et 4 ans : 1 sachet à 4 g par jour, en 1 prise le matin, ou 2 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 6 mois à 1 an : 1 sachet à 4 g par jour, le matin.Chez l'enfant, la durée du traitement ne doit pas dépasser 3 mois.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MACROGOL 4000 ZYDUS,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Chez l'adulte :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée, nausées.Peu fréquents (moins de 1 % des cas) : vomissements, besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).Chez l'enfant :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée.Peu fréquents (moins de 1 % des cas) : nausées, vomissements.Fréquence indéterminée : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.L'usage des laxatifs doit rester exceptionnel chez l'enfant.","Le contenu de chaque sachet doit être dilué dans environ 50 ml d'eau, juste avant l'administration.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 à 2 sachets à 10 g par jour, en une prise, de préférence le matin.Enfant de 4 à 8 ans : 2 à 4 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 1 et 4 ans : 1 sachet à 4 g par jour, en 1 prise le matin, ou 1 sachet à 4 g, matin et soir.Enfant de 6 mois à 1 an : 1 sachet à 4 g par jour, le matin.Chez l'enfant, la durée du traitement ne doit pas dépasser 3 mois.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MACROGOL 4000 BIOGARAN,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Chez l'adulte :Fréquents (1 à 10 % des cas) : douleurs abdominales, nausées, diarrhée.Peu fréquents (moins de 1 % des cas) : besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).Chez l'enfant :Fréquents (1 à 10 % des cas) : douleurs abdominales, diarrhée.Peu fréquents (moins de 1 % des cas) : nausées, vomissements.Fréquence indéterminée : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.L'usage des laxatifs doit rester exceptionnel chez l'enfant.","Le contenu de chaque sachet doit être dilué dans environ 50 ml d'eau, juste avant l'administration.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 à 2 sachets à 10 g par jour, en une prise, de préférence le matin.Enfant de 4 à 8 ans : 2 à 4 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 1 et 4 ans : 1 sachet à 4 g par jour, en 1 prise le matin, ou 2 sachets à 4 g par jour, en 2 prises (matin et soir).Enfant de 6 mois à 1 an : 1 sachet à 4 g par jour, le matin.Chez l'enfant, la durée du traitement ne doit pas dépasser 3 mois.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MACROGOL 4000 VIATRIS,Laxatif osmotique,Ce médicament contient un laxatif osmotique. Il attire l'eau dans l'intestin et augmente le volume des selles.Il est utilisé dans le traitement symptomatique de la constipation.,"La prise de ce médicament peut réduire l'absorption des autres médicaments et diminuer leur efficacité. Signalez à votre médecin ou à votre pharmacien vos autres traitements.De plus, ce médicament peut neutraliser l'effet épaississant des produits contenant de l'amidon utilisés par les personnes ayant des troubles de la déglutition et favoriser les fausses routes.","Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.","Fréquents (1 à 10 des cas) : douleurs abdominales, diarrhée, nausées.Peu fréquents (moins de 1 % des cas) : vomissements, besoin impérieux d'aller à la selle.Très rares : réaction allergique (urticaire, démangeaisons, œdème, choc anaphylactique).","Ce médicament ne doit pas être utilisé dans les cas suivants :allergie connue au polyéthylène glycol,maladies inflammatoires du côlon (rectocolite hémorragique, maladie de Crohn...),perforation de l'intestin ou risque de perforation,occlusion intestinale ou affection prédisposant à une occlusion,douleurs abdominales de cause inconnue.Si la constipation s'accompagne de douleurs abdominales répétitives ou prolongées, de ballonnements importants ou de sang dans les selles, ne prenez pas ce médicament sans avis médical.Chez l'enfant, l'usage des laxatifs doit rester exceptionnel et de courte durée sans avis médical.","Le contenu du sachet doit être dilué dans un verre d'eau juste avant la prise.L'effet laxatif se manifeste 24 à 48 heures après la prise du médicament.Posologie usuelle :Adulte et enfant de plus de 8 ans : 1 ou 2 sachets par jour, de préférence en une seule prise le matin.Le traitement de la constipation repose essentiellement sur des mesures hygiénodiététiques : alimentation riche en fibres, eau de boisson riche en magnésium, activité physique régulière et amélioration de la position sur les toilettes."
MADÉCASSOL crème,Protecteur cutané,Cette crème à visée protectrice et cicatrisante contient un extrait de plante.Elle est utilisée dans le traitement d'appoint des ulcérations de la peau.,,"Ce médicament contient des substances présumées sans danger pendant la grossesse ou l'allaitement. Néanmoins, ne l'utilisez pas sans l'avis préalable de votre pharmacien ou de votre médecin.",Réaction allergique locale.,Ce médicament ne doit pas être appliqué sur des plaies infectées.Rincez abondamment en cas de contact accidentel avec les yeux.,
